id,IATA,ICAO,Airline,Callsign,wikimedia_logo_url
1998,,DEA,Delta Aerotaxi,JET SERVICE,https://www.flightaware.com/images/airline_logos/180px/DEA.png
1999,,SNO,Delta Air Charter,SNOWBALL,https://www.flightaware.com/images/airline_logos/180px/SNO.png
2000,,ELJ,Delta Private Jets,ELITE JET,https://www.flightaware.com/images/airline_logos/180px/ELJ.png
2001,DL,DAL,Delta Air Lines,DELTA,https://www.flightaware.com/images/airline_logos/180px/DAL.png
2002,,KMB,Delta Engineering Aviation,KEMBLEJET,https://www.flightaware.com/images/airline_logos/180px/KMB.png
2003,,DLI,Delta Express International,DELTA EXPRESS,https://www.flightaware.com/images/airline_logos/180px/DLI.png
2004,,DSU,Delta State University,DELTA STATE,https://www.flightaware.com/images/airline_logos/180px/DSU.png
2005,,FEC,Denver Express,FALCON EXPRESS,https://www.flightaware.com/images/airline_logos/180px/FEC.png
2006,,DJT,Denver Jet,DENVER JET,https://www.flightaware.com/images/airline_logos/180px/DJT.png
2007,,FGC,Departament d'Agricultura de la Generalitat de Catalunya,FORESTALS,https://www.flightaware.com/images/airline_logos/180px/FGC.png
2008,,DRY,Deraya Air Taxi,DERAYA,https://www.flightaware.com/images/airline_logos/180px/DRY.png
2009,,DRX,Des R Cargo Express,,https://www.flightaware.com/images/airline_logos/180px/DRX.png
2010,,MIZ,Desarrollo Milaz,MILAZ,https://www.flightaware.com/images/airline_logos/180px/MIZ.png
2011,,DTY,Destiny Air Services,DESTINY,https://www.flightaware.com/images/airline_logos/180px/DTY.png
2012,2A,,Deutsche Bahn,,
2013,1I,AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,https://www.flightaware.com/images/airline_logos/180px/AMB.png
2014,,LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV,LUFO,https://www.flightaware.com/images/airline_logos/180px/LFO.png
2015,,DIS,Di Air,DI AIR,https://www.flightaware.com/images/airline_logos/180px/DIS.png
2016,,SPK,Diamond Aviation,SPARKLE,https://www.flightaware.com/images/airline_logos/180px/SPK.png
2017,,DRB,Didier Rousset Buy,DIDIER,https://www.flightaware.com/images/airline_logos/180px/DRB.png
2018,,DGT,Digital Equipment Corporation,DIGITAL,https://www.flightaware.com/images/airline_logos/180px/DGT.png
2019,,DIP,Diplomatic Freight Services,DIPFREIGHT,https://www.flightaware.com/images/airline_logos/180px/DIP.png
2020,,ENA,Dirección General de Aviación Civil y Telecomunicasciones,ENA,https://www.flightaware.com/images/airline_logos/180px/ENA.png
2021,,DIA,Direct Air,BLUE SKY,https://www.flightaware.com/images/airline_logos/180px/DIA.png
2022,,XAP,Direct Air trading as Midway Connection,MID-TOWN,https://www.flightaware.com/images/airline_logos/180px/XAP.png
2023,,DCT,Direct Flight,,https://www.flightaware.com/images/airline_logos/180px/DCT.png
2024,AW,DIR,Dirgantara Air Service,DIRGANTARA,https://www.flightaware.com/images/airline_logos/180px/DIR.png
2025,,DCV,Discover Air,DISCOVER,https://www.flightaware.com/images/airline_logos/180px/DCV.png
